"U.M.","Nombre","Desc. item","MARCA","Referencia","Nombre archivo","Precio unitario","Existencia","Columna 1","Desc. detalle ext. 1","Extensión final"
"UND ","VINILO RAPID","VINILO RAPID 60cc/85gr  x 120uds","RAPID Y CIA LTDA","3349","3349.png","$774","36","1","VERD LIMO","Verde Limón"
"UND ","VINILO RAPID","VINILO RAPID 60cc/85gr  x 120uds","RAPID Y CIA LTDA","3349","3349.png","$774","36","29","VD MANZAN","Verde Manzana"
"UND ","VINILO RAPID","VINILO RAPID 60cc/85gr  x 120uds","RAPID Y CIA LTDA","3349","3349.png","$774","36","18","MAGENTA ","Magenta"
"UND ","TIJERA FABER CAST ZURDOS ESCOLAR","TIJERA FABER CAST ZURDOS ESCOLAR x24uds","TECNACRIL FABER CASTELL","3350","3350.png","$3.327","91","5","GN ","Genérico"
"UND ","COMPÁS ESCOLAR LÁPIZ EN BOLSA","COMPÁS ESCOLAR LÁPIZ EN BOLSA /864uds","INVERSIONES EXITO","3353","3353.png","$432","0","2","GN ","Genérico"
"UND ","BOLSA CELOFAN DECORADA","BOLSA CELOFAN 12.5x20cms DECORADA","BODEGAS ILUSION","3354","3354.png","$92","88","81","GN ","Genérico"
"UND ","BOLSA 1/4pliego S NAVIDAD PLAST","BOLSA 1/4pliego S NAVIDAD PLAST 120grms","PAPELES PRIMAVERA","3355","3355.png","$831","60","1","GN ","Genérico"
"UND ","PORTAFOLIO FUELLE PLÁSTICO SCRIBE","PORTAF FUELLE PLÁSTICO SCRIBE X20und","COLOMBIANA KIMBERLY","3364","3364.png","$6.384","96","17","IN COLLOR","In color"
"UND ","PORTAFOLIO FUELLE PLÁSTICO SCRIBE","PORTAF FUELLE PLÁSTICO SCRIBE X20und","COLOMBIANA KIMBERLY","3364","3364.png","$6.384","96","27","ONE PIECE","One Piece"
"UND ","PORTAFOLIO FUELLE PLÁSTICO SCRIBE","PORTAF FUELLE PLÁSTICO SCRIBE X20und","COLOMBIANA KIMBERLY","3364","3364.png","$6.384","96","1","HLLT MSK ","Huellitas"
"UND ","PORTAFOLIO FUELLE PLÁSTICO SCRIBE","PORTAF FUELLE PLÁSTICO SCRIBE X20und","COLOMBIANA KIMBERLY","3364","3364.png","$6.384","96","24","LIGA JUST","Liga De La Justicia"
"UND ","MARCADOR SECO PELIKAN 426","MARCADOR SECO PELIKAN 426 x10 x40","PELIKAN DE INDISTRI","3368","3368.png","$1.404","0","53","NEGRO ","Negro"
"UND ","MARCADOR SECO PELIKAN 426","MARCADOR SECO PELIKAN 426 x10 x40","PELIKAN DE INDISTRI","3368","3368.png","$1.404","0","521","NEGRO ","Negro"
"UND ","MARCADOR SECO PELIKAN 426","MARCADOR SECO PELIKAN 426 x10 x40","PELIKAN DE INDISTRI","3368","3368.png","$1.404","0","8","NARANJA ","Naranja"
"UND ","MARCADOR SECO PELIKAN 426","MARCADOR SECO PELIKAN 426 x10 x40","PELIKAN DE INDISTRI","3368","3368.png","$1.404","0","20","ROJO ","Rojo"
"UND ","MARCADOR SECO PELIKAN 426","MARCADOR SECO PELIKAN 426 x10 x40","PELIKAN DE INDISTRI","3368","3368.png","$1.404","0","30","ROJO ","Rojo"
"UND ","MARCADOR SECO PELIKAN 426","MARCADOR SECO PELIKAN 426 x10 x40","PELIKAN DE INDISTRI","3368","3368.png","$1.404","0","1","VERDE ","Verde"
"UND ","MARCADOR SECO PELIKAN 426","MARCADOR SECO PELIKAN 426 x10 x40","PELIKAN DE INDISTRI","3368","3368.png","$1.404","0","11","AZUL ","Azul"
"UND ","MARCADOR SECO PELIKAN 426","MARCADOR SECO PELIKAN 426 x10 x40","PELIKAN DE INDISTRI","3368","3368.png","$1.404","0","174","AZUL ","Azul"
"UND ","MARCADOR SECO PELIKAN 426","MARCADOR SECO PELIKAN 426 x10 x40","PELIKAN DE INDISTRI","3368","3368.png","$1.404","0","69","VERDE ","Verde"
"UND ","BOMBA CORAZÓN TE AMO/QUIERO","BOMBA CORAZÓN x50 TE AMO/QUIERO","SEMPERTEX","3369","3369.png","$29.520","18","1","TQU RJ BC","Te Quiero Rojo Y Blanco"
"UND ","BOMBA CORAZÓN TE AMO/QUIERO","BOMBA CORAZÓN x50 TE AMO/QUIERO","SEMPERTEX","3369","3369.png","$29.520","18","4","TEQU MA S","Te quiero más"
"UND ","MICROPUNTA EDDING 89 RED PUNTA METAL AGUA","MICROPUNTA EDDING 89 RED PTA METAL AGUA","EDDING S.A.","3372","3372.png","$1.615","68","4","VIOLETA ","Violeta"
"UND ","MICROPUNTA EDDING 89 RED PUNTA METAL AGUA","MICROPUNTA EDDING 89 RED PTA METAL AGUA","EDDING S.A.","3372","3372.png","$1.615","68","14","AMARILLO ","Amarillo "
"UND ","MICROPUNTA EDDING 89 RED PUNTA METAL AGUA","MICROPUNTA EDDING 89 RED PTA METAL AGUA","EDDING S.A.","3372","3372.png","$1.615","68","21","AZ CELEST","Azul Celeste"
"UND ","MICROPUNTA EDDING 89 RED PUNTA METAL AGUA","MICROPUNTA EDDING 89 RED PTA METAL AGUA","EDDING S.A.","3372","3372.png","$1.615","68","30","AZUL ","Azul"
"UND ","MICROPUNTA EDDING 89 RED PUNTA METAL AGUA","MICROPUNTA EDDING 89 RED PTA METAL AGUA","EDDING S.A.","3372","3372.png","$1.615","68","7","CF OSCUR ","Café Oscurora"
"UND ","MICROPUNTA EDDING 89 RED PUNTA METAL AGUA","MICROPUNTA EDDING 89 RED PTA METAL AGUA","EDDING S.A.","3372","3372.png","$1.615","68","5","NARANJA ","Naranja"
"UND ","MICROPUNTA EDDING 89 RED PUNTA METAL AGUA","MICROPUNTA EDDING 89 RED PTA METAL AGUA","EDDING S.A.","3372","3372.png","$1.615","68","6","ROJO ","Rojo"
"UND ","MICROPUNTA EDDING 89 RED PUNTA METAL AGUA","MICROPUNTA EDDING 89 RED PTA METAL AGUA","EDDING S.A.","3372","3372.png","$1.615","68","4","VERDE ","Verde"
"UND ","BLOCK MEDIA CARTA MARDEN","BLOCK MEDIA CARTA MARDEN 80hjs 50uds","MARDEN","3375","3375.png","$1.563","30","9","CUADROS ","Cuadros"
"UND ","BLOCK MEDIA CARTA MARDEN","BLOCK MEDIA CARTA MARDEN 80hjs 50uds","MARDEN","3375","3375.png","$1.563","30","105","CON RAYAS","Con Rayas"
"UND ","BLOCK MEDIA CARTA MARDEN","BLOCK MEDIA CARTA MARDEN 80hjs 50uds","MARDEN","3375","3375.png","$1.563","30","3","SIN RAYAS","Sin Rayas"
"UND ","MARCADOR EDDING 330 PERMANENTE RECARGABLE PLÁSTICO BISEL","MARCADOR EDDING 330 PERM RECARG PLAS BIS","EDDING S.A.","3380","3380.png","$1.907","28","5","AZUL ","Azul"
"UND ","MARCADOR EDDING 330 PERMANENTE RECARGABLE PLÁSTICO BISEL","MARCADOR EDDING 330 PERM RECARG PLAS BIS","EDDING S.A.","3380","3380.png","$1.907","28","13","ROJO ","Rojo"
"UND ","MARCADOR EDDING 330 PERMANENTE RECARGABLE PLÁSTICO BISEL","MARCADOR EDDING 330 PERM RECARG PLAS BIS","EDDING S.A.","3380","3380.png","$1.907","28","14","VERDE ","Verde"
"UND ","CINTA TRANSPARENTE CELLUX 3/4pg","CINTA TRANS CELLUX 18x40mt x396uds 3/4pg","CELLUX COLOMBIANA S.A.","3382","3382.png","$1.110","24","622","TRANSPARE","Transparente"
"UND ","BOLÍGRAFO FABER CAST GRIP 2020/TAPA DESC","BOLIG FABER CAST GRIP 2020/TAPA DESC","TECNACRIL FABER CASTELL","3383","3383.png","$631","80","2","ROJO ","Rojo"
"UND ","BOLÍGRAFO FABER CAST GRIP 2020/TAPA DESC","BOLIG FABER CAST GRIP 2020/TAPA DESC","TECNACRIL FABER CASTELL","3383","3383.png","$631","80","54","VERDE ","Verde"
"UND ","ICOPOR NIEVE","ICOPOR NIEVE","PALMIPOR","3387","3387.png","$317","52","72","GN ","Genérico"
"UND ","CUADERNO ARGOLLADO 5M 095 PASTA DURA PRIMAVERA","CUAD ARG 5M 095 PD PRIMAV 36ud 150hj","PAPELES PRIMAVERA","3389","3389.png","$12.263","40","18","CUADR HOM","Cuadros Hombre"
"UND ","CUADERNO ARGOLLADO 5M 095 PASTA DURA PRIMAVERA","CUAD ARG 5M 095 PD PRIMAV 36ud 150hj","PAPELES PRIMAVERA","3389","3389.png","$12.263","40","8","CUADR MUJ","Cuadros Mujer"
"UND ","CUADERNO ARGOLLADO 5M 095 PASTA DURA PRIMAVERA","CUAD ARG 5M 095 PD PRIMAV 36ud 150hj","PAPELES PRIMAVERA","3389","3389.png","$12.263","40","19","MIXTO CUADROS","Mixto cuadros"
"UND ","CUADERNO COSIDO NARUTO","CUAD COS NARUTO x100hj cjx30","CARVAJAL EDUCACION","3397","3397.png","$8.619","70","99","RAYAS ","Rayas "
"UND ","CUADERNO COSIDO NARUTO","CUAD COS NARUTO x100hj cjx30","CARVAJAL EDUCACION","3397","3397.png","$8.619","70","247","CUADROS ","Cuadros"
"UND ","CUADERNO COSIDO MARVEL PRIMAVERA","CUAD COS MARVEL 50hj PRIMAVERA 48ud","PAPELES PRIMAVERA","3399","3399.png","$5.009","4","20","RAYAS ","Rayas "
"UND ","CUADERNO COSIDO MARVEL PRIMAVERA","CUAD COS MARVEL 50hj PRIMAVERA 48ud","PAPELES PRIMAVERA","3399","3399.png","$5.009","4","172","CUADROS ","Cuadros"
"UND ","MARCADOR EDDING 400 PERMANENTE/RECARGABLE/FINA","MARCADOR EDDING 400 PERM/RECAR/FINA x10","EDDING S.A.","3400","3400.png","$1.775","9","7","ROSADO ","Rosado "
"UND ","MARCADOR EDDING 400 PERMANENTE/RECARGABLE/FINA","MARCADOR EDDING 400 PERM/RECAR/FINA x10","EDDING S.A.","3400","3400.png","$1.775","9","4","VERDE ","Verde"
"UND ","MARCADOR EDDING 400 PERMANENTE/RECARGABLE/FINA","MARCADOR EDDING 400 PERM/RECAR/FINA x10","EDDING S.A.","3400","3400.png","$1.775","9","10","AMARILLO ","Amarillo "
"UND ","MARCADOR EDDING 400 PERMANENTE/RECARGABLE/FINA","MARCADOR EDDING 400 PERM/RECAR/FINA x10","EDDING S.A.","3400","3400.png","$1.775","9","1","NEGRO ","Negro"
"UND ","MARCADOR EDDING 400 PERMANENTE/RECARGABLE/FINA","MARCADOR EDDING 400 PERM/RECAR/FINA x10","EDDING S.A.","3400","3400.png","$1.775","9","4","NARANJA ","Naranja"
"UND ","SACAPUNTA FABER CAST JUMBO","SACAPUNTA  FABER CAST JUMBO x30uds","TECNACRIL FABER CASTELL","3402","3402.png","$2.232","36","2","GN ","Genérico"
"UND ","SACAPUNTA FABER CAST PEZ","SACAPUNTA FABER CAST PEZ x24uds","TECNACRIL FABER CASTELL","3404","3404.png","$5.166","72","3","GN ","Genérico"
"UND ","SACAPUNTA FABER CAST PEZ","SACAPUNTA FABER CAST PEZ x24uds","TECNACRIL FABER CASTELL","3404","3404.png","$5.166","72","1","GN ","Genérico"
"UND ","VINILO RAPID GALÓN FLUORESCENTE","VINILO RAPID GALÓN FLUORESCENTE","RAPID Y CIA LTDA","3408","3408.png","$52.525","80","2","NARANJA ","Naranja"
"UND ","VINILO RAPID GALÓN FLUORESCENTE","VINILO RAPID GALÓN FLUORESCENTE","RAPID Y CIA LTDA","3408","3408.png","$52.525","80","1","VERDE ","Verde"
"UND ","VINILO PARCHESITOS","VINILO PARCHESITOS 70cc x 6uds  px216ud","DORICOLOR","3409","3409.png","$1.180","89","201","NEGRO ","Negro"
"UND ","VINILO PARCHESITOS","VINILO PARCHESITOS 70cc x 6uds  px216ud","DORICOLOR","3409","3409.png","$1.180","89","77","NARANJA ","Naranja"
"UND ","VINILO PARCHESITOS","VINILO PARCHESITOS 70cc x 6uds  px216ud","DORICOLOR","3409","3409.png","$1.180","89","268","VERD OSCU","Verde Oscuro"
"UND ","VINILO PARCHESITOS","VINILO PARCHESITOS 70cc x 6uds  px216ud","DORICOLOR","3409","3409.png","$1.180","89","1","VERD OSCU","Verde Oscuro"
"UND ","VINILO PARCHESITOS","VINILO PARCHESITOS 70cc x 6uds  px216ud","DORICOLOR","3409","3409.png","$1.180","89","1","CF OSCUR ","Café Oscurora"
"UND ","VINILO PARCHESITOS","VINILO PARCHESITOS 70cc x 6uds  px216ud","DORICOLOR","3409","3409.png","$1.180","89","14","LILA ","Lila "
"UND ","VINILO PARCHESITOS","VINILO PARCHESITOS 70cc x 6uds  px216ud","DORICOLOR","3409","3409.png","$1.180","89","35","MORADO ","Morado "
"UND ","VINILO PARCHESITOS","VINILO PARCHESITOS 70cc x 6uds  px216ud","DORICOLOR","3409","3409.png","$1.180","89","1","MORADO ","Morado "
"UND ","VINILO PARCHESITOS","VINILO PARCHESITOS 70cc x 6uds  px216ud","DORICOLOR","3409","3409.png","$1.180","89","114","CF OSCUR ","Café Oscurora"
"UND ","VINILO PARCHESITOS","VINILO PARCHESITOS 70cc x 6uds  px216ud","DORICOLOR","3409","3409.png","$1.180","89","83","ROSADO ","Rosado "
"UND ","VINILO PARCHESITOS","VINILO PARCHESITOS 70cc x 6uds  px216ud","DORICOLOR","3409","3409.png","$1.180","89","1","ROSADO ","Rosado "
"UND ","VINILO PARCHESITOS","VINILO PARCHESITOS 70cc x 6uds  px216ud","DORICOLOR","3409","3409.png","$1.180","89","73","AZ CELEST","Azul Celeste"
"UND ","VINILO PARCHESITOS","VINILO PARCHESITOS 70cc x 6uds  px216ud","DORICOLOR","3409","3409.png","$1.180","89","1","NARANJA ","Naranja"
"UND ","VINILO PARCHESITOS","VINILO PARCHESITOS 70cc x 6uds  px216ud","DORICOLOR","3409","3409.png","$1.180","89","209","ROJO ","Rojo"
"UND ","VINILO PARCHESITOS","VINILO PARCHESITOS 70cc x 6uds  px216ud","DORICOLOR","3409","3409.png","$1.180","89","133","AMARILLO ","Amarillo "
"UND ","VINILO PARCHESITOS","VINILO PARCHESITOS 70cc x 6uds  px216ud","DORICOLOR","3409","3409.png","$1.180","89","1","AMARILLO ","Amarillo "
"UND ","VINILO PARCHESITOS","VINILO PARCHESITOS 70cc x 6uds  px216ud","DORICOLOR","3409","3409.png","$1.180","89","94","AZUL ","Azul"
"UND ","VINILO PARCHESITOS","VINILO PARCHESITOS 70cc x 6uds  px216ud","DORICOLOR","3409","3409.png","$1.180","89","227","BLANCO ","Blanco "
"UND ","CUADERNO COSIDO KIUT NORMA","CUAD COS KIUT 100hjs 30uds NORMA","CARVAJAL EDUCACION","3415","3415.png","$8.619","70","97","CUADROS ","Cuadros"
"UND ","CUADERNO COSIDO KIUT NORMA","CUAD COS KIUT 100hjs 30uds NORMA","CARVAJAL EDUCACION","3415","3415.png","$8.619","70","102","RAYAS ","Rayas "
"UND ","MARCADOR EDDING 4090 VIDRIO FLUOR BISEL","MARCADOR EDDING 4090 VIDRIO FLUOR BISEL","EDDING S.A.","3419","3419.png","$13.581","0","1","NEGRO ","Negro"
"UND ","MARCADOR EDDING 4090 VIDRIO FLUOR BISEL","MARCADOR EDDING 4090 VIDRIO FLUOR BISEL","EDDING S.A.","3419","3419.png","$13.581","0","2","ROSD FLUO","Rosado Fluor"
"UND ","MARCADOR EDDING 4090 VIDRIO FLUOR BISEL","MARCADOR EDDING 4090 VIDRIO FLUOR BISEL","EDDING S.A.","3419","3419.png","$13.581","0","38","VERDE ","Verde"
"UND ","MARCADOR EDDING 4090 VIDRIO FLUOR BISEL","MARCADOR EDDING 4090 VIDRIO FLUOR BISEL","EDDING S.A.","3419","3419.png","$13.581","0","1","AZUL ","Azul"
"UND ","MARCADOR EDDING 4090 VIDRIO FLUOR BISEL","MARCADOR EDDING 4090 VIDRIO FLUOR BISEL","EDDING S.A.","3419","3419.png","$13.581","0","18","BLANCO ","Blanco "
"UND ","MARCADOR EDDING 4090 VIDRIO FLUOR BISEL","MARCADOR EDDING 4090 VIDRIO FLUOR BISEL","EDDING S.A.","3419","3419.png","$13.581","0","21","AMR FLUOR","Amr Fluor"
"UND ","MARCADOR EDDING 4090 VIDRIO FLUOR BISEL","MARCADOR EDDING 4090 VIDRIO FLUOR BISEL","EDDING S.A.","3419","3419.png","$13.581","0","4","NJA FLUOR","Naranja Fluor"
"UND ","MARCADOR EDDING 4090 VIDRIO FLUOR BISEL","MARCADOR EDDING 4090 VIDRIO FLUOR BISEL","EDDING S.A.","3419","3419.png","$13.581","0","15","VDE FLUOR","Verde Fluor"
"UND ","MARCADOR EDDING 4090 VIDRIO FLUOR BISEL","MARCADOR EDDING 4090 VIDRIO FLUOR BISEL","EDDING S.A.","3419","3419.png","$13.581","0","4","ROJO ","Rojo"
"UND ","MARCADOR EDDING 1255 CALIGRAFÍA pq/3ud","MARCADOR EDDING 1255 CALIGRAFÍA pq/3ud","EDDING S.A.","3420","3420.png","$4.040","28","7","CF OSCUR ","Café Oscurora"
"UND ","CUADERNO COSIDO MASTER","CUAD COS MASTER x100hj cjx50","COLOMBIANA KIMBERLY","3421","3421.png","$4.725","0","1.290","CUADR HOM","Cuadros Hombre"
"UND ","CUADERNO COSIDO MASTER","CUAD COS MASTER x100hj cjx50","COLOMBIANA KIMBERLY","3421","3421.png","$4.725","0","1.467","CUADR MUJ","Cuadros Mujer"
"UND ","CUADERNO COSIDO MASTER","CUAD COS MASTER x100hj cjx50","COLOMBIANA KIMBERLY","3421","3421.png","$4.725","0","96","DBLN HM I","Doble Línea Hombre"
"UND ","CUADERNO COSIDO MASTER","CUAD COS MASTER x100hj cjx50","COLOMBIANA KIMBERLY","3421","3421.png","$4.725","0","32","DOBL MJ I","Doble Línea Mujer"
"UND ","CUADERNO COSIDO MASTER","CUAD COS MASTER x100hj cjx50","COLOMBIANA KIMBERLY","3421","3421.png","$4.725","0","972","RAYAS HOM","Rayas Hombre"
"UND ","CUADERNO COSIDO MASTER","CUAD COS MASTER x100hj cjx50","COLOMBIANA KIMBERLY","3421","3421.png","$4.725","0","674","DOB LIN D","Doble Línea"
"UND ","CUADERNO COSIDO MASTER","CUAD COS MASTER x100hj cjx50","COLOMBIANA KIMBERLY","3421","3421.png","$4.725","0","2","CUADROS ","Cuadros"
"UND ","CUADERNO COSIDO MASTER","CUAD COS MASTER x100hj cjx50","COLOMBIANA KIMBERLY","3421","3421.png","$4.725","0","1.005","RAYAS MUJ","Rayas Muj"
"UND ","CUADERNO COSIDO SPIDERMAN","CUAD COS SPIDERMAN 100hj 30uds","COLOMBIANA KIMBERLY","3430","3430.png","$8.599","28","108","CUADROS ","Cuadros"
"UND ","CUADERNO COSIDO SPIDERMAN","CUAD COS SPIDERMAN 100hj 30uds","COLOMBIANA KIMBERLY","3430","3430.png","$8.599","28","45","RAYAS ","Rayas "
"UND ","MARCADOR NORMA PERMANENTE NEGRO","MARCADOR NORMA PERMANENTE NEGRO cj/10uds","CARVAJAL EDUCACION","3433","3433.png","$1.446","97","48","NEGRO ","Negro"
"UND ","CUADERNO ARGOLLADO XPRES FLEX PEQUEÑO FEM","CUAD ARG XPRES FLEX PEQ FEM 80hjs cjx50","CARVAJAL EDUCACION","3434","3434.png","$5.553","75","62","CUADR MUJ","Cuadros Mujer"
"UND ","MALETIN EXP 13bol NORMA PLÁSTICO","MALETIN EXP 13bol NORMA PLÁSTICO","CARVAJAL EDUCACION","3442","3442.png","$17.571","60","1","KIUT ","Kiut "
"UND ","CUADERNO COSIDO JUJUTSU SCRIBE","CUAD COS JUJUTSU x50hjs cjx30ud SCRIBE","COLOMBIANA KIMBERLY","3443","3443.png","$1.080","0","128","RAYAS ","Rayas "
"UND ","CUADERNO COSIDO JUJUTSU SCRIBE","CUAD COS JUJUTSU x50hjs cjx30ud SCRIBE","COLOMBIANA KIMBERLY","3443","3443.png","$1.080","0","136","CUADROS ","Cuadros"
"UND ","CUADERNO ARGOLLADO 1M 085 KIUT","CUAD ARG 1M 085 KIUT 80hjs x30uds","CARVAJAL EDUCACION","3445","3445.png","$7.772","11","4","RAYAS ","Rayas "
"UND ","CUADERNO ARGOLLADO 5M 105 PASTA DURA PRIMAVERA SOLID COLORx24","CUAD ARG 5M 105 PD PRIMAV SOLID COLORx24","PAPELES PRIMAVERA","3446","3446.png","$14.565","96","20","CUADR MUJ","Cuadros Mujer"
"UND ","CUADERNO ARGOLLADO 1M 095 PASTA DURA MASTER","CUAD ARG 1M 095 PD MASTER x80hj cjx50","COLOMBIANA KIMBERLY","3451","3451.png","$6.112","80","18","RAYAS HOM","Rayas Hombre"
"UND ","CUADERNO COSIDO SIMPSONS NORMA","CUAD COS SIMPSONS 100hjs 30und NORMA","CARVAJAL EDUCACION","3452","3452.png","$6.093","36","104","CUADROS ","Cuadros"
"UND ","CUADERNO COSIDO SIMPSONS NORMA","CUAD COS SIMPSONS 100hjs 30und NORMA","CARVAJAL EDUCACION","3452","3452.png","$6.093","36","62","RAYAS ","Rayas "
"UND ","PLUMON NORMA LAVABLE 2 TRAZOS EN 1 cx24","PLUMON NORMA LAVABLE 2 TRZ EN 1 x12 cx24","CARVAJAL EDUCACION","3455","3455.png","$7.412","49","152","GN ","Genérico"
"UND ","CARPETA FUELLE OE-812 PLÁSTICA p/120","CARPETA FUELLE OE-812 PLÁSTICA p/120","OFIESCOLARES","3458","3458.png","$3.590","31","1","GN ","Genérico"
"UND ","ROLLO TIQUX10u SATO PB2 BLANCO","ROLLO TIQUX10u SATO PB2 BLANCO","DIMATIC","3462","3462.png","$11.448","0","1","GN ","Genérico"
"UND ","RETARDADOR ROSETA EXTENDER 60c.c.","RETARDADOR ROSETA EXTENDER 60c.c.","ROSETA INDUSTRIAL","3463","3463.png","$1.326","24","1","GN ","Genérico"
"UND ","MINA BOLÍGRAFO PARKER /ud","MINA BOLÍGRAFO PARKER /ud x  144ud","SANFORD","3464","3464.png","$5.780","0","115","GN ","Genérico"
"UND ","RULETA SHARPIE BOX HLDAY 24","RULETA SHARPIE BOX HLDAY 24 X30uds","SANFORD","3465","3465.png","$64.630","0","7","GN ","Genérico"
"UND ","MARCADOR KIUT GLITTER","MARCADOR KIUT GLITTER x10uds cjx12","CARVAJAL EDUCACION","3470","3470.png","$16.319","88","44","GN ","Genérico"
"UND ","CARTUCHERA MULTIUSOS AUSTRAL 348","CARTUCHERA MULTIUSOS AUSTRAL 348","JJ SPORT","3471","3471.png","$12.960","0","1","GN ","Genérico"
"UND ","COLOR FABER CAST SUPERSOFT","COLOR FABER CAST x50 SUPERSOFT","TECNACRIL FABER CASTELL","3474","3474.png","$54.451","44","16","GN ","Genérico"
"UND ","CUADERNO COSIDO HELLO KITTY Y AMIGOSx100h","CUAD COS HELLO KITTY Y AMIGOSx100h cjx30","COLOMBIANA KIMBERLY","3476","3476.png","$6.093","36","40","DOB LIN D","Doble Línea"
"UND ","CUADERNO COSIDO HELLO KITTY Y AMIGOSx100h","CUAD COS HELLO KITTY Y AMIGOSx100h cjx30","COLOMBIANA KIMBERLY","3476","3476.png","$6.093","36","28","CUADROS ","Cuadros"
"UND ","CUADERNO COSIDO HELLO KITTY Y AMIGOSx100h","CUAD COS HELLO KITTY Y AMIGOSx100h cjx30","COLOMBIANA KIMBERLY","3476","3476.png","$6.093","36","35","RAYAS ","Rayas "
"UND ","CUADERNO COSIDO BIA","CUAD COS BIA 50hjs 30uds","COLOMBIANA KIMBERLY","3477","3477.png","$5.286","60","19","DOB LIN D","Doble Línea"
"UND ","SILICONA LIQ TESA","SILICONA LIQ 100ml TESA cj/192uds","BEIERDORSF","3481","3481.png","$3.888","0","4","GN ","Genérico"
"UND ","SILICONA LIQ TESA","SILICONA LIQ 100ml TESA cj/192uds","BEIERDORSF","3481","3481.png","$3.888","0","112","GN ","Genérico"
"UND ","BLOCK DIN A4 FORM HZT NESSAN","BLOCK DIN A4 FORM HZT 115gr x20hj NESSAN","NESSAN","3482","3482.png","$3.251","88","141","GN ","Genérico"
"UND ","CINTA EMPAQUE TESA 6x36uds","CINTA EMPAQ TESA 48x100mtr cj 6x36uds","BEIERDORSF","3486","3486.png","$6.031","65","10","GN ","Genérico"
"UND ","CINTA EMPAQUE TESA 6x36uds","CINTA EMPAQ TESA 48x100mtr cj 6x36uds","BEIERDORSF","3486","3486.png","$6.031","65","606","GN ","Genérico"
"UND ","BORRADOR BR 60 RAPID 24uds/1344uds","BORRADOR BR 60 RAPID 24uds/1344uds","RAPID Y CIA LTDA","3487","3487.png","$390","96","399","GN ","Genérico"
"UND ","MARCADOR SHARPIE DOBLE PUNTA","MARCADOR SHARPIE DOBLE PUNTA cj/144uds","SANFORD","3492","3492.png","$2.920","0","689","NEGRO ","Negro"
"UND ","MARCADOR SHARPIE DOBLE PUNTA","MARCADOR SHARPIE DOBLE PUNTA cj/144uds","SANFORD","3492","3492.png","$2.920","0","231","ROJO ","Rojo"
"UND ","COLOR Q NOTA DOBLE PUNTA","COLOR Q NOTA 12x24 DOBLE PUNTA cjx48","COLOMBIANA KIMBERLY","3497","3497.png","$3.842","64","14","GN ","Genérico"
"UND ","COLOR Q NOTA DOBLE PUNTA","COLOR Q NOTA 12x24 DOBLE PUNTA cjx48","COLOMBIANA KIMBERLY","3497","3497.png","$3.842","64","283","GN ","Genérico"
"UND ","CUADERNO COSIDO DOGS","CUAD COS DOGS x100hj cjx30","CARVAJAL EDUCACION","3499","3499.png","$8.619","70","85","CUADROS ","Cuadros"
"UND ","CUADERNO COSIDO DOGS","CUAD COS DOGS x100hj cjx30","CARVAJAL EDUCACION","3499","3499.png","$8.619","70","18","DOB LIN D","Doble Línea"
"UND ","CUADERNO COSIDO DOGS","CUAD COS DOGS x100hj cjx30","CARVAJAL EDUCACION","3499","3499.png","$8.619","70","132","RAYAS ","Rayas "
"UND ","MORRAL BOLSO AKKER MA02TAR003 1220R","MORRAL BOLSO AKKER MA02TAR003 1220R","DISTRIBUIDORA DALSAN S.A.","3502","3502.png","$40.716","0","1","GN ","Genérico"
"UND ","CINTA COLCIN SOLIDA","CINTA COLCIN 18x50yds SOLIDA","COLCINTEX S.A.","3507","3507.png","$1.728","0","14","AZUL OSCU","Azul Oscuro"
"UND ","CINTA COLCIN SOLIDA","CINTA COLCIN 18x50yds SOLIDA","COLCINTEX S.A.","3507","3507.png","$1.728","0","18","BLANCO ","Blanco "
"UND ","CINTA COLCIN SOLIDA","CINTA COLCIN 18x50yds SOLIDA","COLCINTEX S.A.","3507","3507.png","$1.728","0","11","DORADO OR","Dorado Oro"
"UND ","CINTA COLCIN SOLIDA","CINTA COLCIN 18x50yds SOLIDA","COLCINTEX S.A.","3507","3507.png","$1.728","0","36","FUCSIA ","Fucsia "
"UND ","CINTA COLCIN SOLIDA","CINTA COLCIN 18x50yds SOLIDA","COLCINTEX S.A.","3507","3507.png","$1.728","0","24","PURPURA ","Púrpura "
"UND ","CINTA COLCIN SOLIDA","CINTA COLCIN 18x50yds SOLIDA","COLCINTEX S.A.","3507","3507.png","$1.728","0","36","ROSADO ","Rosado "
"UND ","CINTA COLCIN SOLIDA","CINTA COLCIN 18x50yds SOLIDA","COLCINTEX S.A.","3507","3507.png","$1.728","0","16","VERD LIMO","Verde Limón"
"UND ","CINTA COLCIN SOLIDA","CINTA COLCIN 18x50yds SOLIDA","COLCINTEX S.A.","3507","3507.png","$1.728","0","5","VERDE NAV","Verde Nav"
"UND ","CINTA COLCIN SOLIDA","CINTA COLCIN 18x50yds SOLIDA","COLCINTEX S.A.","3507","3507.png","$1.728","0","17","AMARILLO ","Amarillo "
"UND ","CINTA COLCIN SOLIDA","CINTA COLCIN 18x50yds SOLIDA","COLCINTEX S.A.","3507","3507.png","$1.728","0","20","AZ CELEST","Azul Celeste"
"UND ","CINTA COLCIN SOLIDA","CINTA COLCIN 18x50yds SOLIDA","COLCINTEX S.A.","3507","3507.png","$1.728","0","18","PLATA ","Plata "
