"U.M.","Nombre","Desc. item","MARCA","Referencia","Nombre archivo","Precio unitario","Existencia","Columna 1","Desc. detalle ext. 1","Extensión final"
"UND ","MADERAS LACA SILER","MADERAS LACA SILER 120cm","MADERA ARTESANAL LA 15","5300","5300.png","$1.879","20","5","P.MATAZUL","Pastel Mate Azul"
"UND ","PLIEGO PAPEL ECOLPAK DOBLE CARA 22101199","PLIEGO PAPEL ECOLPAK DOBLE CARA 22101199","ALPEN","5305","5305.png","$648","0","17","GN ","Genérico"
"UND ","PLIEGO PAPEL ECOLPAK BLANCO 1199/1299/17","PLIEGO PAPEL ECOLPAK BLANCO 1199/1299/17","ALPEN","5306","5306.png","$540","0","226","GN ","Genérico"
"UND ","SELLO VINTAGE 7000","SELLO VINTAGE 7000","GUAR","5307","5307.png","$6.048","0","48","GN ","Genérico"
"UND ","ROLLO ECOLPAK 10 METROS","ROLLO ECOLPAK 10 METROS","ALPEN","5312","5312.png","$8.316","0","1","VERDE ","Verde"
"UND ","ROLLO ECOLPAK 4 METROS CUADROS","ROLLO ECOLPAK 4 METROS CUADROS","ALPEN","5313","5313.png","$3.326","40","2","ROJO ","Rojo"
"UND ","ROLLO ECOLPAK 5METROS CUADROS","ROLLO ECOLPAK 5METROS CUADROS","ALPEN","5314","5314.png","$4.158","0","1","ROJO ","Rojo"
"UND ","PAPEL REG GR 7","PAPEL REG GR 7 70x50cms","JAIS","5316","5316.png","$199","80","149","GN ","Genérico"
"UND ","MADERAS PORTA VASO SENCILLO","MADERAS PORTA VASO SENCILLO","MADERA ARTESANAL LA 15","5319","5319.png","$2.505","60","4","GN ","Genérico"
"UND ","MADERAS FLORERO RAYADO GRUESO","MADERAS FLORERO RAYADO x3uds GRUESO","MADERA ARTESANAL LA 15","5320","5320.png","$8.259","84","5","GN ","Genérico"
"UND ","MADERAS JAULAS c/PAJARITO","MADERAS JAULAS c/PAJARITO","POLO","5321","5321.png","$9.720","0","11","GN ","Genérico"
"UND ","MADERAS SERVILLETERO PERA PARTIDA LA 1/2","MADERAS SERVILLETERO PERA PARTIDA LA 1/2","MADERA ARTESANAL LA 15","5322","5322.png","$5.670","0","1","GN ","Genérico"
"UND ","MADERAS GATOS DOBLES CON MARCO","MADERAS GATOS DOBLES CON MARCO","MADERA ARTESANAL LA 15","5323","5323.png","$11.577","60","3","GN ","Genérico"
"UND ","PVC ADHESIVO CALIBRE 10 MIL","PVC ADHESIVO CALIBRE 10 MIL","NEXSYS DE COLOMBIA S.A.","5326","5326.png","$834","84","200","NEGRO ","Negro"
"UND ","MADERAS KIT BOLSO TACON c/ACCESORIOS","MADERAS KIT BOLSO TACON c/ACCESORIOS","MADERA ARTESANAL LA 15","5342","5342.png","$16.200","0","9","GN ","Genérico"
"UND ","DISCO DURO 512 GB","DISCO DURO 512 GB","","5376","5376.png","$199.663","92","1","GN ","Genérico"
"UND ","PLASTISEDA p/PLIEGOS COLORES SURTIDOS","PLASTISEDA p/PLIEGOS COLORES SURTIDOS","MARDEN","5380","5380.png","$233","28","3","AZUL ","Azul"
"UND ","FOMI 4CARTAS ESTAMPADO NAVIDENO","FOMI 4CARTAS ESTAMPADO NAVIDENO","INDUSTRIAS EL FARO","5394","5394.png","$1.989","36","1","PUNT VERD","No subir"
"UND ","FOMI 4CARTAS ESTAMPADO NAVIDENO","FOMI 4CARTAS ESTAMPADO NAVIDENO","INDUSTRIAS EL FARO","5394","5394.png","$1.989","36","3","CAMPANITA","Campanita"
"UND ","FOMI 4CARTAS ESTAMPADO NAVIDENO","FOMI 4CARTAS ESTAMPADO NAVIDENO","INDUSTRIAS EL FARO","5394","5394.png","$1.989","36","2","ESTR ROJA","Estr Roja"
"UND ","CARTULINA IMPRESA p/ESCARAPELA","CARTULINA IMPRESA p/ESCARAPELA 4x4","FORMAS VIDA","5403","5403.png","$339","12","375","GN ","Genérico"
"UND ","BOTONES C/GANCHO","BOTONES  C/GANCHO","LITOGER","5425","5425.png","$1.620","0","1","GN ","Genérico"
"UND ","PINTURA ESC NORMA PERLADA","PINTURA ESC NORMA PERLADA x 100ml","CARVAJAL EDUCACION","5431","5431.png","$3.621","24","9","NARANJA ","Naranja"
"UND ","PINTURA ESC NORMA PERLADA","PINTURA ESC NORMA PERLADA x 100ml","CARVAJAL EDUCACION","5431","5431.png","$3.621","24","1","ROJO ","Rojo"
"UND ","PINTURA ESC NORMA PERLADA","PINTURA ESC NORMA PERLADA x 100ml","CARVAJAL EDUCACION","5431","5431.png","$3.621","24","7","ROJO ","Rojo"
"UND ","PINTURA ESC NORMA PERLADA","PINTURA ESC NORMA PERLADA x 100ml","CARVAJAL EDUCACION","5431","5431.png","$3.621","24","7","VERDE ","Verde"
"UND ","PINTURA ESC NORMA PERLADA","PINTURA ESC NORMA PERLADA x 100ml","CARVAJAL EDUCACION","5431","5431.png","$3.621","24","3","VIOLETA ","Violeta"
"UND ","PINTURA ESC NORMA PERLADA","PINTURA ESC NORMA PERLADA x 100ml","CARVAJAL EDUCACION","5431","5431.png","$3.621","24","8","AZUL ","Azul"
"UND ","NAV RENO SANTA NIEVE MUL0033/4/5","NAV RENO SANTA NIEVE 43cm MUL0033/4/5","INACOL S A S","5447","5447.png","$9.728","64","1","RENO 43cm","Reno 43Cm"
"UND ","NAV FOLLAJE FLQ02857/8 BOLITAS DRD/RJO","NAV FOLLAJE FLQ02857/8 BOLITAS DRD/RJO","INACOL S A S","5450","5450.png","$3.257","28","2","ROJO ","Rojo"
"UND ","NAV FOLLAJE FLQ02857/8 BOLITAS DRD/RJO","NAV FOLLAJE FLQ02857/8 BOLITAS DRD/RJO","INACOL S A S","5450","5450.png","$3.257","28","3","DORADO OR","Dorado Oro"
"UND ","NAV FLOR FLQ02836/7 DORADAS Y ROJAS","NAV FLOR FLQ02836/7 DORADAS Y ROJAS","INACOL S A S","5451","5451.png","$8.968","32","2","DORADO OR","Dorado Oro"
"UND ","NAV FLOR FLQ02836/7 DORADAS Y ROJAS","NAV FLOR FLQ02836/7 DORADAS Y ROJAS","INACOL S A S","5451","5451.png","$8.968","32","3","ROJO ","Rojo"
"UND ","NAV FOLLAJE FLQ02397/8 ESPIRALES","NAV FOLLAJE FLQ02397/8 ESPIRALES","INACOL S A S","5452","5452.png","$5.019","84","7","DORADO OR","Dorado Oro"
"UND ","NAV FOLLAJE FLQ02397/8 ESPIRALES","NAV FOLLAJE FLQ02397/8 ESPIRALES","INACOL S A S","5452","5452.png","$5.019","84","7","ROJO ","Rojo"
"UND ","F0LLAJE NAVIDEÑO","F0LLAJE NAVIDEÑO","INACOL S A S","5454","5454.png","$6.807","24","1","GN ","Genérico"
"UND ","F0LLAJE NAVIDEÑO","F0LLAJE NAVIDEÑO","INACOL S A S","5454","5454.png","$6.807","24","7","DORADO OR","Dorado Oro"
"UND ","F0LLAJE NAVIDEÑO","F0LLAJE NAVIDEÑO","INACOL S A S","5454","5454.png","$6.807","24","9","ROJO ","Rojo"
"UND ","NAV BALDES ESCARCHADOS","NAV BALDES ESCARCHADOS","INACOL S A S","5470","5470.png","$14.264","64","1","GN ","Genérico"
"UND ","FOMI ESPECIAL 1/8x5uds SURTIDO","FOMI ESPECIAL 1/8x5uds SURTIDO","PRODUVARIOS S.A.","5474","5474.png","$2.992","68","11","DIAM DRD ","Diamante Dorado"
"UND ","FOMI ESPECIAL 1/8x5uds SURTIDO","FOMI ESPECIAL 1/8x5uds SURTIDO","PRODUVARIOS S.A.","5474","5474.png","$2.992","68","9","ESFERA DR","No subir"
"UND ","FOMI ESPECIAL 1/8x5uds SURTIDO","FOMI ESPECIAL 1/8x5uds SURTIDO","PRODUVARIOS S.A.","5474","5474.png","$2.992","68","10","CORRUGADO","No subir"
"UND ","FOMI 4CARTAS ESCARCHADOx5uds MOTIVOS","FOMI 4CARTAS ESCARCHADOx5uds MOTIVOS","DIFE SAS","5499","5499.png","$9.936","0","77","NAVIDAD ","Navidad "
